sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
2613,ERR5766181,OXFORD_NANOPORE,https://raw.githubusercontent.com/sofstam/test-datasets/nf-core-test-datasets-centrifuge/data/fastq/ERX5474936_ERR5766180_1.fastq.gz,,
2614,ERR3201952,OXFORD_NANOPORE,https://raw.githubusercontent.com/sofstam/test-datasets/nf-core-test-datasets-centrifuge/data/fastq/ERR3201952.fastq.gz,,
